,time,nodes,edges
970,135.175,1000,333.0
971,155.889,1000,333.0
972,80.193,1000,333.0
973,127.262,1000,333.0
974,109.035,1000,333.0
975,50.241,1000,333.0
976,60.376,1000,333.0
977,119.859,1000,333.0
978,117.466,1000,333.0
979,122.72,1000,333.0
980,46.607,1000,333.0
981,177.21,1000,333.0
982,169.861,1000,333.0
983,158.433,1000,333.0
984,122.073,1000,333.0
985,182.908,1000,333.0
986,167.408,1000,333.0
987,165.725,1000,333.0
988,133.993,1000,333.0
989,145.378,1000,333.0
990,152.441,1000,333.0
991,138.863,1000,333.0
992,142.97,1000,333.0
993,122.654,1000,333.0
994,193.847,1000,333.0
995,138.714,1000,333.0
996,56.742,1000,333.0
997,62.539,1000,333.0
998,86.1,1000,333.0
999,70.532,1000,333.0
