,time,nodes,edges
612,130.644,700,233.0
613,4420.641,700,233.0
614,1453.474,700,233.0
615,1471.399,700,233.0
616,1669.932,700,233.0
617,1454.802,700,233.0
618,1422.659,700,233.0
619,1546.403,700,233.0
620,1408.128,700,233.0
621,1475.064,700,233.0
622,1365.193,700,233.0
623,1440.361,700,233.0
624,1827.487,700,233.0
625,1362.326,700,233.0
626,1420.125,700,233.0
627,1726.967,700,233.0
628,101.188,700,233.0
629,48.388,700,233.0
630,21.52,700,233.0
631,1348.423,700,233.0
632,1419.647,700,233.0
633,1452.298,700,233.0
634,1399.661,700,233.0
635,1382.435,700,233.0
636,156.849,700,233.0
637,64.778,700,233.0
638,108.525,700,233.0
639,1399.095,700,233.0
640,91.643,700,233.0
641,50.809,700,233.0
642,4489.803,700,233.0
643,120.437,700,233.0
644,31.956,700,233.0
645,1408.918,700,233.0
646,5586.82,700,233.0
647,1343.132,700,233.0
648,1384.985,700,233.0
649,99.46,700,233.0
650,1391.77,700,233.0
651,1416.592,700,233.0
652,1423.343,700,233.0
653,1528.65,700,233.0
654,1551.312,700,233.0
655,138.945,700,233.0
656,89.282,700,233.0
657,1346.298,700,233.0
658,1432.565,700,233.0
659,1668.502,700,233.0
660,57.427,700,233.0
661,56.908,700,233.0
662,1308.198,700,233.0
663,75.226,700,233.0
664,36.434,700,233.0
665,1342.565,700,233.0
666,41.353,700,233.0
667,115.086,700,233.0
668,48.389,700,233.0
669,1448.912,700,233.0
670,113.472,700,233.0
671,1952.544,700,233.0
672,1467.727,700,233.0
673,1969.286,700,233.0
674,1427.486,700,233.0
675,70.015,700,233.0
676,53.314,700,233.0
677,1671.751,700,233.0
678,106.121,700,233.0
679,74.003,700,233.0
680,57.641,700,233.0
681,2047.45,700,233.0
682,103.264,700,233.0
683,111.111,700,233.0
684,1377.835,700,233.0
685,1599.704,700,233.0
686,1459.519,700,233.0
687,57.845,700,233.0
688,1328.212,700,233.0
689,1434.552,700,233.0
